,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
1401,El Batillo- Serie animada,Kevin-Ex Magaña,Fallido,Baja California,Lo que estamos creando es una serie animada de un adolescente de 15 años un poco odioso y malcriado pero con un gran sentido común,creando serie animada adolescente años odioso malcriado gran común,"['serie', 'malcriado gran']",28,69500,2,Cine y video
1402,Proyecto fotográfico sierra norte puebla,Allan,Fallido,Puebla,Soy un joven mexicano el cual acaba de descubrir una nueva cara del mundo que lo rodea y quisiera su ayuda para poderla compartir,joven mexicano acaba descubrir nueva cara mundo rodea quisiera ayuda poderla compartir,"['poderla', 'mexicano acaba']",28,25000,2,Fotografía
1403,TopVlog,Victor Hugo Rivero Garcia,Fallido,Distrito Federal,"El primer Index dedicado a los contenidos de Youtube.\r
\r
The first Index dedicated to the contents of YouTube.",primer index dedicado contenidos youtuber r first index dedicated contents youtube,"['index', 'youtube', 'contenidos youtuber']",20,100000,2,Cine y video
1404,Permafrost: Lost in limits,Jet Tre,Fallido,Zacatecas,"Una Película llena de simbolismos, accion misterio,aliens, conspiraciones gubernamentales, viajes temporales y misterio psicológico",película llena simbolismos accion misterioaliens conspiraciones gubernamentales viajes temporales misterio psicológico,"['misterio', 'llena simbolismos']",10000,3000000,1,Cine y video
1405,Álbum Ojos negros,Ángel Torres,Fallido,Nuevo Leon,"Este proyecto lo hago con el fin de grabar y maquilar mi primer disco de trova titulado ""Ojos negros"".",proyecto hago fin grabar maquilar primer disco trova titulado ojos negros,"['ojos', 'hago fin']",2000,40000,1,Música
1406,Vitrium para todos,Oscar,Fallido,Distrito Federal,"Soy un obstinado y apasionado del vidrio. Busco su apoyo para darle nueva vida, mejorar mis procesos técnicos y creativos.",obstinado apasionado vidrio busco apoyo darle nueva vida mejorar procesos técnicos creativos,"['apasionado', 'tecnicos', 'procesos']",1500,45000,1,Artesanía
1407,Building a life i don't need vacation from,Diego Gutiérrez,Fallido,Baja California,"Changing my own world to change the whole world,  not everyone has courage enough to live life doing what you love with all your heart",changing world change whole world everyone courage enough live life love heart,"['life love', 'world']",1350,70000,1,Arte
1408,HaceCines Seriales. Canal de series.,HaceCines Seriales,Fallido,Distrito Federal,"Un canal que produce series de ficción.  Necesitamos apoyo para producir la primera de ellas, Hombres de Paja; constará de 7 capítulos.",canal produce series ficción necesitamos apoyo producir primera hombres paja constará capítulos,"['produce', 'constara', 'paja']",1000,150000,1,Cine y video
1409,Primera Cita el musical (First Date the musical),Emilio Wriedt,Fallido,Distrito Federal,Una comedia musical de Broadway del escritor de “Gossip Girl” llega a la CDMX México. Ven con Aaron y Casey a su primera cita.,comedia musical broadway escritor gossip girl llega cdmx méxico ven aaron casey primera cita,"['musical', 'casey primera']",1000,50000,1,Teatro
1410,Imaginarium cruza el mundo con ETROX Danza Ficción,Dante Uriel Mancilla Lorenzo,Fallido,Veracruz-Llave,"Imaginarium busca llevar ETROX; obra coreográfica interdisciplinaria de ciencia ficción, al festival de teatro de Sheki en Azerbaiyán.",imaginarium busca llevar etrox obra coreográfica interdisciplinaria ciencia ficción festival teatro sheki azerbaiyán,"['sheki', 'busca llevar']",1000,62780,1,Teatro
1411,MADE WITH SEEDS (Canceled),Libia Hernandez Vargas,Cancelado,Veracruz-Llave,"We are dedicated to the development of fashion handmade necklaces, we use natural seeds to conserve the environment.",dedicated development fashion handmade necklaces use natural seeds conserve environment,"['development', 'seeds conserve']",900,10000,1,Artesanía
