,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
958,BOLSA DE GÉNERO,Communitas Consultora,Chile,"""El juego de género"" que busca educar mediante una trivia de preguntas y respuestas sobre feminismos, sexualidades y, por supuesto, género.",38025,66,5800,106,Juegos
959,SILBAN LAS BALAS,Bolsas en el viento,Argentina,"Bolsas en el viento es una compañía teatral dedicada al clown, las máscaras y los géneros populares",5425,66,7100,52,Artes escénicas
960,POR EL BRILLO DE TUS OJOS,Francisco Sortino,Argentina,Cortometraje - Ficción. Fede quiere regalarle el último cielo estrellado a su Abuela internada en un hospital.,10931,66,11900,79,Cine y video
962,MENDOZA TIEMBLA,MartinRumbo,Argentina,Historias de terror que no te van a dejar dormir...,4363,66,10500,58,Editorial
963,INFANCIAS ATRAPADAS,masoleb,Argentina,"Ayudanos a publicar este libro fundamental, para conocer y tratar, el abuso intrafamiliar desde el relato de los protagonistas.",6510,66,5200,53,Editorial
964,CLUB HEM DE LECTORES 2016,Club Hem,Argentina,Formá parte del Club Hem de Lectores. Tu aporte nos ayuda a publicar. La recompensa: nuestro catálogo 2016 en tus manos. Entrá y elegí.,7549,66,8800,60,Editorial
965,NÉCTAR,NECTAR cortometraje,Argentina,NÉCTAR es un cortometraje que busca en la arquitectura de Salamone su ficción.,4281,65,2900,16,Cine y video
966,INOCENTE AVENTURA -SERIEWEB,InocenteAventura Serie Web,Argentina,"Destacada por contar un género distinto en cada capítulo, esta comedia romántica hecha serie web narra las aventuras de Anahí y Yoel.",2549,65,7400,10,Cine y video
967,LASOCIEDADDELOSVERSOSNEGROS,César Francisco Ramírez,Chile,"Un velorio de campo es la excusa para este montaje que se ríe del racismo, del clasismo y la intolerancia propias de nuestra cultura",14872,65,4200,27,Artes escénicas
969,SWINGUEIRAS VIAJA A BAHÍA!!,Ale Cita,Argentina,"Somos un grupo de percusión femenino. Queremos viajar a Salvador de Bahia, para realizar una producción audiovisual con formato documental.",19242,65,6800,121,Música
970,ANHELO,cientoveinte metros,Argentina,"Anhelo es un Cortometraje tesis de 2do año, realizado por estudiantes del CIEVYC",3175,64,5700,568,Cine y video
971,RELATOS DE UNA MUJER RODANTE.,Cristina Goupillaut,Argentina,"Un libro que combina relatos e ilustraciones de esta, mi nueva vida que se traslada en silla de ruedas.",7418,64,3500,38,Editorial
972,AYUDANOS A ESTRENAR LOS FUEGOS,Fuegos Internos,Argentina,Nos encontramos a un paso de estrenar nuestro docu ¡Con tu ayuda vamos a poder estrenar y hacer circular el documental como queremos!,14804,64,7400,83,Cine y video
973,"VIUDA, VENENO Y VENGANZA",Eugenia García Huidobro,Chile,La primera obra de la compañía La Trilla busca tu colaboración para su diseño integral... no te arrepentirás en apoyarnos!!!,36609,64,6600,28,Artes escénicas
974,"MARTA, SE ALQUILA",Antonella,Argentina,Una muerte y una deuda generarán distintos problemas que Jorge y Ramiro deberán resolver. La solución: alquilar las habitaciones de su casa.,7337,64,11300,107,Cine y video
975,LA MEJOR MAMÁ DEL MUNDO,Catalina Sandoval,Chile,Cortometraje de egreso de la Escuela de cine de Chile.,4633,64,2200,6,Cine y video
976,"SIEMPRE, HASTA LUEGO.",MiaGmaxwell,Argentina,"Somos un grupo de Jóvenes estudiantes de la Universidad del cine, con ganas de contar nuevas historias, nuevos mundos.",1771,63,4700,73,Cine y video
